Date;Time;Severity;TID;This;Function;Message
2018/10/10;19:21:53.876;DEBUG;10732;00000000;InitLog@98;"InitLog"
2018/10/10;19:21:53.877;DEBUG;10732;00000000;DllMain@579;"DLL is attach to process"
2018/10/10;19:21:53.877;DEBUG;10732;00000000;GetCurrentProcInfo@158;"Current Process Name: TelerikWpfApp1.exe"
2018/10/10;19:21:53.877;DEBUG;10732;00000000;GetCurrentProcInfo@166;"Current Process ID: 12652"
2018/10/10;19:21:53.877;DEBUG;10732;00000000;InitEvents@562;"Init events: CAMOverlayStarted12652"
2018/10/10;19:21:53.978;DEBUG;12828;00000000;InitHook@438;"Init hook"
2018/10/10;19:21:53.979;DEBUG;12828;00000000;InitNamedPipes@429;"Named pipe initialized: "
2018/10/10;19:21:53.979;DEBUG;12828;00000000;HookD3D9@261;"Hooked D3D9"
2018/10/10;19:21:53.979;DEBUG;12828;00000000;TryHook@487;"DirectX 9 is hooked"
2018/10/10;19:21:53.990;DEBUG;12828;00000000;HookDXGI@224;"Hooked DXGI"
2018/10/10;19:21:53.990;DEBUG;12828;00000000;TryHook@501;"DXGI(D10, D11, D12) is hooked"
2018/10/10;19:21:56.979;DEBUG;1956;00000000;NamedPipeThread@198;"Pipe: INVALID_HANDLE_VALUE, retry."
2018/10/10;19:22:00.009;DEBUG;1956;00000000;NamedPipeThread@198;"Pipe: INVALID_HANDLE_VALUE, retry."
2018/10/10;19:22:03.016;DEBUG;1956;00000000;NamedPipeThread@198;"Pipe: INVALID_HANDLE_VALUE, retry."
2018/10/10;19:22:06.017;DEBUG;1956;00000000;NamedPipeThread@198;"Pipe: INVALID_HANDLE_VALUE, retry."
2018/10/10;19:22:09.022;DEBUG;1956;00000000;NamedPipeThread@198;"Pipe: INVALID_HANDLE_VALUE, retry."
2018/10/10;19:22:12.025;DEBUG;1956;00000000;NamedPipeThread@198;"Pipe: INVALID_HANDLE_VALUE, retry."
2018/10/10;19:22:15.030;DEBUG;1956;00000000;NamedPipeThread@198;"Pipe: INVALID_HANDLE_VALUE, retry."
2018/10/10;19:22:18.033;DEBUG;1956;00000000;NamedPipeThread@198;"Pipe: INVALID_HANDLE_VALUE, retry."
